,Datetime,Day of the Year,Description,District,Neighborhood
20502,2016-08-12 12:23:00,225,common assault,northeastern,loch raven
20504,2016-08-12 12:00:00,225,larceny,central,upton
20506,2016-08-12 11:55:00,225,agg. assault,southeastern,inner harbor
20507,2016-08-12 11:45:00,225,common assault,northern,hampden
20512,2016-08-12 09:00:00,225,burglary,southeastern,fells point
20513,2016-08-12 09:00:00,225,larceny,eastern,middle east
20518,2016-08-12 08:00:00,225,larceny,northwestern,west arlington
20520,2016-08-12 08:00:00,225,auto theft,southern,brooklyn
20521,2016-08-12 08:00:00,225,auto theft,central,downtown
20524,2016-08-12 07:00:00,225,larceny,southwestern,beechfield
20527,2016-08-12 07:00:00,225,larceny,southern,brooklyn
20532,2016-08-12 06:00:00,225,larceny,central,downtown
20534,2016-08-12 04:30:00,225,burglary,western,reservoir hill
20536,2016-08-12 04:10:00,225,robbery - street,southeastern,fells point
20542,2016-08-12 02:10:00,225,burglary,northeastern,belair-edison
20543,2016-08-12 01:51:00,225,common assault,southern,cherry hill
20545,2016-08-12 01:30:00,225,common assault,western,sandtown-winchester
20552,2016-08-12 01:00:00,225,burglary,southern,brooklyn
20554,2016-08-12 00:50:00,225,robbery - street,central,downtown
20555,2016-08-12 00:45:00,225,robbery - street,western,harlem park
20557,2016-08-12 00:35:00,225,burglary,southern,westport
20558,2016-08-12 00:28:00,225,common assault,western,sandtown-winchester
20560,2016-08-12 00:01:00,225,burglary,southern,cherry hill
20562,2016-08-12 00:00:00,225,larceny from auto,eastern,middle east
20567,2016-08-11 23:00:00,224,common assault,central,upton
20572,2016-08-11 22:45:00,224,robbery - street,northeastern,belair-edison
20573,2016-08-11 22:45:00,224,robbery - street,northeastern,belair-edison
20574,2016-08-11 22:45:00,224,robbery - street,northeastern,belair-edison
20578,2016-08-11 22:00:00,224,robbery - residence,southeastern,fells point
20579,2016-08-11 21:30:00,224,robbery - carjacking,northwestern,forest park
20581,2016-08-11 21:30:00,224,common assault,southwestern,irvington
20582,2016-08-11 21:30:00,224,larceny,central,downtown
20583,2016-08-11 21:20:00,224,common assault,eastern,oldtown
20586,2016-08-11 21:05:00,224,larceny,central,upton
20588,2016-08-11 20:21:00,224,auto theft,central,downtown
20590,2016-08-11 20:15:00,224,robbery - commercial,southern,cherry hill
20592,2016-08-11 20:00:00,224,burglary,northern,guilford
20593,2016-08-11 19:30:00,224,burglary,southern,cherry hill
20598,2016-08-11 19:00:00,224,larceny,southern,hollins market
20600,2016-08-11 18:30:00,224,auto theft,eastern,oldtown
20601,2016-08-11 18:00:00,224,larceny from auto,western,harlem park
20603,2016-08-11 18:00:00,224,auto theft,northeastern,frankford
20604,2016-08-11 17:55:00,224,robbery - street,northeastern,loch raven
20605,2016-08-11 17:40:00,224,robbery - street,central,inner harbor
20606,2016-08-11 17:30:00,224,larceny,northeastern,frankford
20612,2016-08-11 16:56:00,224,common assault,eastern,middle east
20613,2016-08-11 16:40:00,224,larceny,central,downtown
20614,2016-08-11 16:30:00,224,common assault,central,upton
20616,2016-08-11 16:10:00,224,burglary,southeastern,canton
20622,2016-08-11 15:00:00,224,larceny from auto,northern,barclay
20628,2016-08-11 14:15:00,224,larceny from auto,northeastern,frankford
20630,2016-08-11 14:01:00,224,larceny,southeastern,canton
20631,2016-08-11 14:00:00,224,robbery - residence,southern,brooklyn
20632,2016-08-11 14:00:00,224,larceny,central,downtown
20634,2016-08-11 13:45:00,224,agg. assault,southwestern,morrell park
20635,2016-08-11 13:45:00,224,agg. assault,southwestern,morrell park
20638,2016-08-11 13:35:00,224,common assault,northern,barclay
20643,2016-08-11 13:09:00,224,larceny from auto,western,sandtown-winchester
20645,2016-08-11 13:00:00,224,common assault,central,reservoir hill
20649,2016-08-11 12:40:00,224,robbery - street,western,druid heights
